pop,author,species,class,lat,lon,geo_meth,num_individuals,gene_diversity,allelic_richness,global_fst,urban,popden,hfi,num_loci,Ne,Ne_lower,Ne_upper
Prentice_NewBrunswick,Prentice,Lynx_canadensis,mammal,46.589,-66.339,ARCgeoref,15,0.656452,3.933598,0.088734,0,1.039999962,15.46268657,15,111.4,24.8,NA
Prentice_Newfoundland,Prentice,Lynx_canadensis,mammal,48.727,-56.025,ARCgeoref,27,0.455879,2.731453,0.378369,0,1.039999962,8.441605839,15,21.2,12.1,46.7
Prentice_Quebec_north,Prentice,Lynx_canadensis,mammal,48.164114,-72.944614,ARCgeoref_averagedindividualcoords,328,0.744369,4.639395,0.003945,0,1.039999962,7.836065574,15,1230.7,604.1,15929.6
Prentice_Quebec_south,Prentice,Lynx_canadensis,mammal,47.662583,-68.578917,ARCgeoref_averagedindividualcoords,165,0.682091,3.936655,0.087782,0,4.602500081,19.62292052,15,112.3,87,150.6
Priare_North_DurbanJackson,DurbanJackson,Charadrius_melodus,bird,53.21,-110.79,coordinates,6,0.444861,2.308712,-0.263337,0,1.039999962,24.54545455,8,NA,1.1,NA
RIC_11,TaylorandHoffmann,Peromyscus_leucopus,mammal,39.538,-84.7941,coordinates,12,0.791325,5.29599,0.086023,1,19.36249995,46.5292887,10,39.1,11.7,NA
Robinson_1,Robinson,Odocoileus_virginianus,mammal,43.075705,-90.725462,coordinates,24,0.806312,5.460908,0.01323,1,15.74499989,40.0945674,14,1393.1,64.3,NA
Robinson_10,Robinson,Odocoileus_virginianus,mammal,42.639163,-90.132364,coordinates,13,0.798388,5.675951,0.00429,0,6.130000114,42.86519115,14,NA,32.2,NA
Robinson_11,Robinson,Odocoileus_virginianus,mammal,42.814324,-90.132016,coordinates,24,0.806065,5.468023,0.012309,0,15.41000009,41.57915832,14,304.6,58.7,NA
Robinson_12,Robinson,Odocoileus_virginianus,mammal,43.423866,-90.132385,coordinates,36,0.817744,5.640536,0.007068,0,8.424999714,27.58661417,14,107,50.4,1878.6
Robinson_13,Robinson,Odocoileus_virginianus,mammal,43.598131,-90.01415,coordinates,26,0.821312,5.740844,-0.00414,1,17.70499992,36.65940594,14,139,45.8,NA
Robinson_14,Robinson,Odocoileus_virginianus,mammal,43.336756,-90.013899,coordinates,28,0.808375,5.537998,0.013089,0,14.65749979,29.4488978,14,408.5,71.4,NA
Robinson_15,Robinson,Odocoileus_virginianus,mammal,43.074879,-89.897185,coordinates,71,0.818008,5.409704,0.013726,0,7.639999866,30.23046092,14,181.6,88.9,1600.6
Robinson_16,Robinson,Odocoileus_virginianus,mammal,43.161923,-89.896976,coordinates,45,0.814588,5.455342,0.012888,1,8.486666679,33.78313253,14,NA,596.7,NA
Robinson_17,Robinson,Odocoileus_virginianus,mammal,42.813616,-89.897313,coordinates,38,0.821488,5.627567,0.002021,0,10.18000031,32.37125749,14,NA,125.6,NA
Robinson_18,Robinson,Odocoileus_virginianus,mammal,42.639592,-89.896668,coordinates,20,0.800078,5.525737,0.017715,0,6.610000134,38.14084507,14,177.3,39.2,NA
Robinson_19,Robinson,Odocoileus_virginianus,mammal,42.328199,-89.806389,coordinates,31,0.81829,5.605794,0.001686,1,15.61500025,46.45325203,14,NA,97,NA
Robinson_2,Robinson,Odocoileus_virginianus,mammal,43.335779,-90.606369,coordinates,27,0.815933,5.673836,0.003646,0,9.019999981,25.354,14,80.7,35.3,NA
Robinson_20,Robinson,Odocoileus_virginianus,mammal,43.423907,-89.777983,coordinates,40,0.811103,5.439449,0.016413,1,24.3099997,48.14285714,14,236.3,81.6,NA
Robinson_21,Robinson,Odocoileus_virginianus,mammal,43.075369,-89.779156,coordinates,72,0.820963,5.480697,0.009949,1,12.84333324,39.23446894,14,467.9,153.3,NA
Robinson_22,Robinson,Odocoileus_virginianus,mammal,43.162251,-89.77884,coordinates,41,0.803377,5.307898,0.025277,1,28.93999958,39.77354709,14,NA,807.1,NA
Robinson_23,Robinson,Odocoileus_virginianus,mammal,42.901095,-89.779282,coordinates,38,0.822399,5.502098,0.002528,0,13.67999983,31.87951807,14,1299,113.5,NA
Robinson_24,Robinson,Odocoileus_virginianus,mammal,42.550812,-89.778839,coordinates,21,0.80295,5.446757,0.013606,0,32.58249998,41.4,14,103.6,34.1,NA
Robinson_25,Robinson,Odocoileus_virginianus,mammal,43.336731,-89.659922,coordinates,41,0.810666,5.389378,0.017237,1,23.10249972,49.31262525,14,NA,148.6,NA
Robinson_26,Robinson,Odocoileus_virginianus,mammal,42.639645,-89.661004,coordinates,22,0.822298,5.734277,-0.009027,1,34.79249978,49.806,14,NA,76.3,NA
Robinson_27,Robinson,Odocoileus_virginianus,mammal,43.598935,-89.541788,coordinates,15,0.790911,5.421183,0.01863,1,61.42333603,45.78019802,14,97.4,29.1,NA
Robinson_28,Robinson,Odocoileus_virginianus,mammal,42.987642,-89.54331,coordinates,27,0.811196,5.487492,0.009662,1,74.05666606,51.71513944,14,NA,76.7,NA
Robinson_29,Robinson,Odocoileus_virginianus,mammal,42.72652,-89.544602,coordinates,11,0.808805,5.78787,-0.015403,0,14.63999987,38.40927419,14,NA,31.8,NA
Robinson_3,Robinson,Odocoileus_virginianus,mammal,42.987896,-90.487543,coordinates,22,0.805818,5.412243,0.013421,0,8.149999857,33.44578313,14,964.8,55.5,NA
Robinson_30,Robinson,Odocoileus_virginianus,mammal,43.424457,-89.422593,coordinates,38,0.807576,5.306611,0.019834,1,27.74500036,44.73757455,14,NA,263.4,NA
Robinson_31,Robinson,Odocoileus_virginianus,mammal,42.813117,-89.427851,coordinates,39,0.815216,5.572815,0.010837,1,25.02749968,39.894,14,570.5,102.3,NA
Robinson_32,Robinson,Odocoileus_virginianus,mammal,42.33242,-89.339657,coordinates,34,0.827612,5.678695,-0.006586,1,29.30000019,39.51717172,14,176.5,57.1,NA
Robinson_33,Robinson,Odocoileus_virginianus,mammal,41.98006,-89.337376,coordinates,35,0.812739,5.495389,0.011787,1,16.31999969,51.90927419,14,202.4,67.6,NA
Robinson_34,Robinson,Odocoileus_virginianus,mammal,42.975315,-89.307982,coordinates,22,0.801022,5.349807,0.018568,1,251.6649933,65.70481928,14,22.4,13.3,41.2
Robinson_35,Robinson,Odocoileus_virginianus,mammal,42.628873,-89.30775,coordinates,36,0.820676,5.57975,0.004801,1,18.93500018,46.12877264,14,NA,129.9,NA
Robinson_36,Robinson,Odocoileus_virginianus,mammal,43.413068,-89.185034,coordinates,24,0.799612,5.318574,0.020933,0,13.38999987,37.73663366,14,2119.6,67.2,NA
Robinson_37,Robinson,Odocoileus_virginianus,mammal,42.889903,-89.191035,coordinates,26,0.821478,5.70768,-0.001603,1,32.22333399,51.42147117,14,153.8,46.3,NA
Robinson_38,Robinson,Odocoileus_virginianus,mammal,42.194008,-89.115142,coordinates,38,0.820891,5.559512,0.003129,1,297.9774971,66.08571429,14,308.7,79.7,NA
Robinson_39,Robinson,Odocoileus_virginianus,mammal,43.066087,-89.070787,coordinates,36,0.819755,5.56985,0.003672,1,58.10999807,41.25903614,14,161.3,66.4,NA
Robinson_4,Robinson,Odocoileus_virginianus,mammal,43.509979,-90.490764,coordinates,26,0.83013,5.865579,-0.013426,0,8.635000229,23.78957916,14,NA,80.4,NA
Robinson_40,Robinson,Odocoileus_virginianus,mammal,43.152819,-89.069186,coordinates,38,0.799671,5.377876,0.029602,1,28.8324995,41.48790323,14,573.9,84.2,NA
Robinson_41,Robinson,Odocoileus_virginianus,mammal,42.715883,-89.071842,coordinates,20,0.800549,5.493445,0.016801,1,130.8274961,62.63727455,14,282.1,51.9,NA
Robinson_42,Robinson,Odocoileus_virginianus,mammal,42.454515,-89.000219,coordinates,79,0.837653,5.743514,-0.009515,1,160.9533335,69.52129817,14,403.5,150.1,NA
Robinson_43,Robinson,Odocoileus_virginianus,mammal,42.369667,-88.999503,coordinates,44,0.818911,5.541857,0.007849,1,351.2149887,72.01825558,14,89.3,50.9,252.4
Robinson_44,Robinson,Odocoileus_virginianus,mammal,42.802692,-88.95457,coordinates,39,0.826058,5.565763,-0.001663,1,68.0274992,55.24144869,14,166,72.4,NA
Robinson_45,Robinson,Odocoileus_virginianus,mammal,42.539295,-88.952946,coordinates,40,0.831962,5.740742,-0.008098,1,56.69666735,66.09638554,14,74.6,45.2,168.2
Robinson_46,Robinson,Odocoileus_virginianus,mammal,42.454203,-88.8812,coordinates,64,0.830656,5.680072,-0.002985,1,47.61500072,49.54325956,14,846.4,156.9,NA
Robinson_47,Robinson,Odocoileus_virginianus,mammal,42.109275,-88.880738,coordinates,43,0.825577,5.581057,-0.000953,1,17.93000031,45.80487805,14,199577.5,130.2,NA
